entry_date,exit_date,ticker,combo,ff,contracts,cost_per_contract,pnl,ret_pct
2025-06-18,2025-07-10,VST,23-44,0.09585797281504616,10,904.5999999999998,1933.0000000000011,0.21368560689807667
2025-06-18,2025-07-10,PLTR,23-44,0.09439756074625438,10,722.1,863.0000000000002,0.11951253289018145
2025-06-18,2025-07-10,NRG,23-44,0.091260638409709,10,559.6,908.0000000000001,0.1622587562544675
2025-06-18,2025-07-10,WDAY,23-44,0.08725717419879886,10,544.6000000000001,-317.0000000000021,-0.05820785897906757
2025-06-18,2025-07-10,HD,23-58,0.06759652886811973,10,1069.6,-6072.0,-0.5676888556469708
2025-05-22,2025-07-17,PANW,57-85,0.08633299614981205,10,484.6,2188.0000000000014,0.4515063970284774
2025-06-04,2025-07-17,CRM,44-72,0.061956573833296336,10,659.6,3332.9999999999986,0.5053062462098239
2025-06-18,2025-07-17,MDT,30-58,0.11462157394681038,10,219.6,-1172.0,-0.5336976320582878
2025-06-18,2025-07-17,CRWD,30-58,0.11213934469351594,10,1972.1,3062.999999999997,0.1553166675117893
2025-07-02,2025-07-17,ADBE,16-44,0.038516242461959616,10,1137.0999999999997,578.0000000000045,0.050831061472166456
2025-07-02,2025-07-17,CCL,16-44,0.0368374992049314,10,139.6,-102.00000000000004,-0.0730659025787966
2025-07-02,2025-07-17,JBL,16-79,0.034951916378622716,10,1454.5999999999997,1483.0000000000018,0.10195242678399576
2025-06-18,2025-07-24,LULU,37-58,0.08209066740871873,10,677.1,573.0000000000019,0.08462560921577343
2025-07-02,2025-07-24,SMCI,23-44,0.13212312294727147,10,389.1,678.0000000000002,0.17424826522744802
2025-07-10,2025-07-24,NVDA,15-43,0.07431456558311034,10,714.6,-917.0,-0.12832353764343687
2025-07-10,2025-07-24,DELL,15-43,0.012489702963671911,10,545.1000000000001,1007.9999999999995,0.18492019812878357
2025-07-10,2025-08-07,COST,29-50,0.10318712798791663,10,1474.6,5682.999999999998,0.3853926488539264
2025-07-10,2025-08-07,AVGO,29-50,0.05102382822074669,10,807.0999999999998,647.9999999999994,0.0802874488910915
2025-07-10,2025-08-07,NKE,29-50,0.031066830697060066,10,210.60000000000005,-47.00000000000033,-0.0223171889838558
2025-07-15,2025-08-07,FDX,24-45,0.003362412633830747,10,457.0999999999999,1513.0000000000005,0.3309997812294904
2025-07-17,2025-08-07,ADBE,22-43,0.016934719728406433,10,784.5999999999998,-4316.999999999999,-0.550216670915116
2025-07-18,2025-08-07,DLTR,21-42,0.15753332711433798,10,400.1,67.99999999999989,0.016995751062234412
